15120 cells | 32 cores | library-based (no RL) | out=results/
[5250/15120] rho2_mu0.2_eta5_kap1_artic_seed4: INV=0 conv=0 best=burn_then_protect dJ=+2.3  (696s, inv so far 8)
[5300/15120] rho2_mu0.2_eta8_kap1_sbm_seed1: INV=0 conv=0 best=delay8 dJ=+52.3  (703s, inv so far 8)
[5350/15120] rho2_mu0.2_eta16_kap0.25_artic_seed0: INV=0 conv=1 best=burn_then_protect dJ=-12.7  (709s, inv so far 8)
[5400/15120] rho2_mu0.2_eta16_kap1_artic_seed7: INV=0 conv=0 best=burn_then_protect dJ=+2.7  (716s, inv so far 8)
[5450/15120] rho2_mu0.3_eta1_kap1_sbm_seed6: INV=0 conv=0 best=delay8 dJ=+19.7  (722s, inv so far 8)
[5500/15120] rho2_mu0.3_eta2_kap0.5_sbm_seed7: INV=0 conv=0 best=burn_then_protect dJ=+21.2  (730s, inv so far 8)
[5550/15120] rho2_mu0.3_eta5_kap0.25_sbm_seed3: INV=0 conv=0 best=protect_only dJ=+16.9  (736s, inv so far 8)
[5600/15120] rho2_mu0.3_eta5_kap1_sbm_seed3: INV=0 conv=0 best=burn_then_protect dJ=+66.4  (743s, inv so far 8)
[5650/15120] rho2_mu0.3_eta8_kap0.5_sbm_seed0: INV=0 conv=0 best=protect_only dJ=+23.0  (749s, inv so far 8)
[5700/15120] rho2_mu0.3_eta16_kap0.25_bridge_seed5: INV=0 conv=0 best=delay8 dJ=+60.2  (756s, inv so far 8)
[5750/15120] rho2_mu0.3_eta16_kap1_bridge_seed6: INV=0 conv=0 best=delay8 dJ=+65.4  (763s, inv so far 8)
[5800/15120] rho2_mu0.4_eta1_kap0.5_bridge_seed3: INV=0 conv=0 best=burn_then_protect dJ=+16.8  (770s, inv so far 8)
[5850/15120] rho2_mu0.4_eta2_kap0.25_artic_seed5: INV=0 conv=1 best=burn_then_protect dJ=-10.2  (777s, inv so far 8)
[5900/15120] rho2_mu0.4_eta2_kap1_artic_seed0: INV=0 conv=1 best=burn_then_protect dJ=-7.1  (784s, inv so far 8)
[5950/15120] rho2_mu0.4_eta5_kap0.5_artic_seed0: INV=0 conv=1 best=burn_then_protect dJ=-8.4  (791s, inv so far 8)
[6000/15120] rho2_mu0.4_eta8_kap0.25_artic_seed6: INV=0 conv=0 best=burn_then_protect dJ=+7.9  (798s, inv so far 8)
[6050/15120] rho2_mu0.4_eta16_kap0.25_sbm_seed3: INV=0 conv=0 best=protect_only dJ=+63.9  (805s, inv so far 8)
[6100/15120] rho2_mu0.4_eta16_kap1_sbm_seed6: INV=0 conv=0 best=delay8 dJ=+125.0  (813s, inv so far 8)
[6150/15120] rho2_mu0.5_eta1_kap0.5_bridge_seed1: INV=0 conv=0 best=burn_then_protect dJ=+28.0  (819s, inv so far 8)
[6200/15120] rho2_mu0.5_eta2_kap0.25_sbm_seed2: INV=0 conv=1 best=protect_only dJ=-8.1  (827s, inv so far 8)
[6250/15120] rho2_mu0.5_eta2_kap1_sbm_seed4: INV=0 conv=0 best=burn_then_protect dJ=+56.2  (834s, inv so far 8)
[6300/15120] rho2_mu0.5_eta5_kap0.5_bridge_seed6: INV=0 conv=0 best=burn_then_protect dJ=+37.7  (841s, inv so far 8)
[6350/15120] rho2_mu0.5_eta8_kap0.25_bridge_seed3: INV=0 conv=0 best=protect_only dJ=+16.9  (848s, inv so far 8)
[6400/15120] rho2_mu0.5_eta8_kap1_bridge_seed7: INV=0 conv=0 best=delay8 dJ=+77.9  (855s, inv so far 8)
[6450/15120] rho2_mu0.5_eta16_kap0.5_artic_seed5: INV=0 conv=1 best=burn_then_protect dJ=+1.2  (862s, inv so far 8)
[6500/15120] rho5_mu0.05_eta1_kap0.5_sbm_seed2: INV=0 conv=0 best=delay8 dJ=+16.5  (868s, inv so far 8)
[6550/15120] rho5_mu0.05_eta1_kap1_artic_seed5: INV=0 conv=0 best=burn_then_protect dJ=+28.9  (875s, inv so far 8)
[6600/15120] rho5_mu0.05_eta2_kap1_sbm_seed4: INV=0 conv=0 best=delay8 dJ=+19.9  (881s, inv so far 8)
[6650/15120] rho5_mu0.05_eta5_kap0.5_sbm_seed3: INV=0 conv=0 best=delay8 dJ=+31.1  (887s, inv so far 8)
[6700/15120] rho5_mu0.05_eta5_kap1_artic_seed3: INV=0 conv=0 best=burn_then_protect dJ=+11.2  (893s, inv so far 8)
[6750/15120] rho5_mu0.05_eta8_kap0.5_artic_seed6: INV=0 conv=0 best=burn_then_protect dJ=+64.2  (899s, inv so far 8)
[6800/15120] rho5_mu0.05_eta16_kap1_sbm_seed0: INV=0 conv=1 best=delay8 dJ=+0.7  (904s, inv so far 8)
[6850/15120] rho5_mu0.1_eta1_kap0.25_bridge_seed1: INV=0 conv=0 best=delay8 dJ=+44.2  (911s, inv so far 8)
[6900/15120] rho5_mu0.1_eta1_kap1_bridge_seed5: INV=0 conv=0 best=delay8 dJ=+36.1  (917s, inv so far 8)
[6950/15120] rho5_mu0.1_eta2_kap0.5_bridge_seed3: INV=0 conv=0 best=delay8 dJ=+39.0  (923s, inv so far 8)
[7000/15120] rho5_mu0.1_eta5_kap0.25_bridge_seed7: INV=0 conv=0 best=delay8 dJ=+81.3  (930s, inv so far 8)
[7050/15120] rho5_mu0.1_eta5_kap1_artic_seed5: INV=0 conv=0 best=burn_then_protect dJ=+33.9  (937s, inv so far 8)
[7100/15120] rho5_mu0.1_eta8_kap0.5_artic_seed7: INV=0 conv=0 best=burn_then_protect dJ=+46.5  (943s, inv so far 8)
[7150/15120] rho5_mu0.1_eta16_kap0.5_sbm_seed1: INV=0 conv=0 best=protect_only dJ=+94.8  (950s, inv so far 8)
[7200/15120] rho5_mu0.1_eta16_kap1_artic_seed1: INV=0 conv=0 best=burn_then_protect dJ=+48.7  (956s, inv so far 8)
[7250/15120] rho5_mu0.2_eta1_kap1_sbm_seed3: INV=0 conv=0 best=delay8 dJ=+46.2  (962s, inv so far 8)
[7300/15120] rho5_mu0.2_eta2_kap0.25_artic_seed6: INV=0 conv=0 best=burn_then_protect dJ=+33.5  (969s, inv so far 8)
[7350/15120] rho5_mu0.2_eta5_kap0.25_sbm_seed6: INV=0 conv=0 best=protect_only dJ=+37.4  (976s, inv so far 8)
[7400/15120] rho5_mu0.2_eta5_kap1_bridge_seed4: INV=0 conv=0 best=delay8 dJ=+40.3  (982s, inv so far 8)
[7450/15120] rho5_mu0.2_eta8_kap0.5_bridge_seed4: INV=0 conv=0 best=delay8 dJ=+50.3  (989s, inv so far 8)
[7500/15120] rho5_mu0.2_eta16_kap0.25_bridge_seed5: INV=0 conv=0 best=delay8 dJ=+137.3  (995s, inv so far 8)
[7550/15120] rho5_mu0.2_eta16_kap1_bridge_seed6: INV=0 conv=0 best=delay8 dJ=+135.6  (1002s, inv so far 8)
[7600/15120] rho5_mu0.3_eta1_kap0.5_bridge_seed7: INV=0 conv=0 best=delay8 dJ=+54.1  (1008s, inv so far 8)
[7650/15120] rho5_mu0.3_eta2_kap0.25_artic_seed5: INV=0 conv=0 best=burn_then_protect dJ=+27.2  (1016s, inv so far 8)
[7700/15120] rho5_mu0.3_eta2_kap1_artic_seed7: INV=0 conv=0 best=burn_then_protect dJ=+43.5  (1023s, inv so far 8)
[7750/15120] rho5_mu0.3_eta5_kap0.5_artic_seed0: INV=0 conv=0 best=burn_then_protect dJ=+31.7  (1029s, inv so far 8)
[7800/15120] rho5_mu0.3_eta8_kap0.25_artic_seed1: INV=0 conv=0 best=protect_only dJ=+21.1  (1036s, inv so far 8)
[7850/15120] rho5_mu0.3_eta16_kap0.25_sbm_seed1: INV=0 conv=0 best=protect_only dJ=+223.1  (1042s, inv so far 8)
[7900/15120] rho5_mu0.3_eta16_kap1_sbm_seed7: INV=0 conv=0 best=delay8 dJ=+252.1  (1049s, inv so far 8)
[7950/15120] rho5_mu0.4_eta1_kap0.5_bridge_seed4: INV=0 conv=0 best=delay8 dJ=+25.1  (1057s, inv so far 8)
[8000/15120] rho5_mu0.4_eta2_kap0.25_bridge_seed0: INV=0 conv=0 best=protect_only dJ=+65.6  (1063s, inv so far 8)
[8050/15120] rho5_mu0.4_eta2_kap1_bridge_seed5: INV=0 conv=0 best=delay8 dJ=+42.6  (1070s, inv so far 8)
[8100/15120] rho5_mu0.4_eta5_kap0.5_sbm_seed7: INV=0 conv=0 best=protect_only dJ=+100.4  (1077s, inv so far 8)
[8150/15120] rho5_mu0.4_eta8_kap0.25_bridge_seed2: INV=0 conv=0 best=protect_only dJ=+164.4  (1084s, inv so far 8)
[8200/15120] rho5_mu0.4_eta8_kap1_bridge_seed7: INV=0 conv=0 best=delay8 dJ=+109.1  (1091s, inv so far 8)
[8250/15120] rho5_mu0.4_eta16_kap0.5_artic_seed5: INV=0 conv=0 best=delay8 dJ=+41.1  (1098s, inv so far 8)
[8300/15120] rho5_mu0.5_eta1_kap0.25_artic_seed0: INV=0 conv=0 best=burn_then_protect dJ=+33.6  (1106s, inv so far 8)
[8350/15120] rho5_mu0.5_eta2_kap0.25_sbm_seed5: INV=0 conv=0 best=protect_only dJ=+44.1  (1113s, inv so far 8)
