cid,rho,mu,eta,kappa,topo,seed,optJ,naiJ,dJ,ci_hi,converged,bestlib,bestlib_tag,P,X,T,het_driven,inversion
rho0.5_mu0.05_eta1_kap0.25_sbm_seed7,0.5,0.05,1,0.25,sbm,7,4.141666666666667,10.475,-6.333333333333333,-0.5229770544143417,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.5_artic_seed0,0.5,0.05,1,0.5,artic,0,10.75,44.925,-34.175,-0.7055197817109405,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.5_artic_seed1,0.5,0.05,1,0.5,artic,1,14.375,54.541666666666664,-40.166666666666664,-0.6677511654981181,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.5_artic_seed2,0.5,0.05,1,0.5,artic,2,13.166666666666666,41.50833333333333,-28.341666666666665,-0.577704702949746,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.5_artic_seed3,0.5,0.05,1,0.5,artic,3,12.275,56.641666666666666,-44.36666666666667,-0.730477272524438,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.5_artic_seed4,0.5,0.05,1,0.5,artic,4,12.566666666666666,38.46666666666667,-25.9,-0.566723254386531,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.5_artic_seed5,0.5,0.05,1,0.5,artic,5,10.658333333333333,39.975,-29.316666666666666,-0.6879091035243292,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.5_artic_seed6,0.5,0.05,1,0.5,artic,6,17.075,45.833333333333336,-28.758333333333333,-0.5150053615839946,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.5_artic_seed7,0.5,0.05,1,0.5,artic,7,10.275,34.71666666666667,-24.441666666666666,-0.6326799100449775,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.5_bridge_seed0,0.5,0.05,1,0.5,bridge,0,37.00833333333333,40.233333333333334,-3.225,0.13328479650896763,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.5_bridge_seed1,0.5,0.05,1,0.5,bridge,1,32.225,32.516666666666666,-0.2916666666666667,0.2036880500438619,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.5_bridge_seed2,0.5,0.05,1,0.5,bridge,2,35.69166666666667,33.68333333333333,2.0083333333333333,0.3303476290914772,False,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.5_bridge_seed3,0.5,0.05,1,0.5,bridge,3,29.983333333333334,36.38333333333333,-6.4,-0.002259203188181376,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.5_bridge_seed4,0.5,0.05,1,0.5,bridge,4,22.925,29.616666666666667,-6.691666666666666,-0.04870327178819801,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.5_bridge_seed5,0.5,0.05,1,0.5,bridge,5,25.0,28.433333333333334,-3.433333333333333,0.0905979612031952,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.5_bridge_seed6,0.5,0.05,1,0.5,bridge,6,26.608333333333334,40.108333333333334,-13.5,-0.2619137448069729,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.5_bridge_seed7,0.5,0.05,1,0.5,bridge,7,27.966666666666665,37.06666666666667,-9.1,-0.16045157549387792,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.5_sbm_seed0,0.5,0.05,1,0.5,sbm,0,5.558333333333334,9.866666666666667,-4.308333333333334,-0.25230053034357663,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.5_sbm_seed1,0.5,0.05,1,0.5,sbm,1,12.033333333333333,14.666666666666666,-2.6333333333333333,-0.030040406767741182,True,burn_then_protect,P,1,1,1,0,0
